Chapter,Player,Line,Line ID,Stage Direction
ACT I,,,,
SCENE I. London. The palace.,,,,
,,,,"Enter KING HENRY, LORD JOHN OF LANCASTER, the EARL of WESTMORELAND, SIR WALTER BLUNT, and others"
,KING HENRY IV,,,
,,"So shaken as we are, so wan with care,",1.1.1,
,,"Find we a time for frighted peace to pant,",1.1.2,
,,And breathe short-winded accents of new broils,1.1.3,
,,To be commenced in strands afar remote.,1.1.4,
,,No more the thirsty entrance of this soil,1.1.5,
,,Shall daub her lips with her own children's blood;,1.1.6,
,,"Nor more shall trenching war channel her fields,",1.1.7,
,,Nor bruise her flowerets with the armed hoofs,1.1.8,
,,"Of hostile paces: those opposed eyes,",1.1.9,
,,"Which, like the meteors of a troubled heaven,",1.1.10,
,,"All of one nature, of one substance bred,",1.1.11,
,,Did lately meet in the intestine shock,1.1.12,
,,And furious close of civil butchery,1.1.13,
,,"Shall now, in mutual well-beseeming ranks,",1.1.14,
,,March all one way and be no more opposed,1.1.15,
,,"Against acquaintance, kindred and allies:",1.1.16,
,,"The edge of war, like an ill-sheathed knife,",1.1.17,
,,"No more shall cut his master. Therefore, friends,",1.1.18,
,,"As far as to the sepulchre of Christ,",1.1.19,
,,"Whose soldier now, under whose blessed cross",1.1.20,
,,"We are impressed and engaged to fight,",1.1.21,
,,Forthwith a power of English shall we levy;,1.1.22,
,,Whose arms were moulded in their mothers' womb,1.1.23,
,,To chase these pagans in those holy fields,1.1.24,
,,Over whose acres walk'd those blessed feet,1.1.25,
,,Which fourteen hundred years ago were nail'd,1.1.26,
,,For our advantage on the bitter cross.,1.1.27,
,,"But this our purpose now is twelve month old,",1.1.28,
,,And bootless 'tis to tell you we will go:,1.1.29,
,,Therefore we meet not now. Then let me hear,1.1.30,
,,"Of you, my gentle cousin Westmoreland,",1.1.31,
,,What yesternight our council did decree,1.1.32,
,,In forwarding this dear expedience.,1.1.33,
,WESTMORELAND,,,
,,"My liege, this haste was hot in question,",1.1.34,
,,And many limits of the charge set down,1.1.35,
,,But yesternight: when all athwart there came,1.1.36,
,,A post from Wales loaden with heavy news;,1.1.37,
,,"Whose worst was, that the noble Mortimer,",1.1.38,
,,Leading the men of Herefordshire to fight,1.1.39,
,,"Against the irregular and wild Glendower,",1.1.40,
,,"Was by the rude hands of that Welshman taken,",1.1.41,
,,A thousand of his people butchered;,1.1.42,
,,"Upon whose dead corpse there was such misuse,",1.1.43,
,,"Such beastly shameless transformation,",1.1.44,
,,By those Welshwomen done as may not be,1.1.45,
,,Without much shame retold or spoken of.,1.1.46,
,KING HENRY IV,,,
,,It seems then that the tidings of this broil,1.1.47,
,,Brake off our business for the Holy Land.,1.1.48,
,WESTMORELAND,,,
,,"This match'd with other did, my gracious lord;",1.1.49,
,,For more uneven and unwelcome news,1.1.50,
,,Came from the north and thus it did import:,1.1.51,
,,"On Holy-rood day, the gallant Hotspur there,",1.1.52,
,,"Young Harry Percy and brave Archibald,",1.1.53,
,,"That ever-valiant and approved Scot,",1.1.54,
,,"At Holmedon met,",1.1.55,
,,"Where they did spend a sad and bloody hour,",1.1.56,
,,"As by discharge of their artillery,",1.1.57,
,,"And shape of likelihood, the news was told;",1.1.58,
,,"For he that brought them, in the very heat",1.1.59,
,,"And pride of their contention did take horse,",1.1.60,
,,Uncertain of the issue any way.,1.1.61,
